Dataset,Synthesizer,Repetition,Classifier,EvalType,Property,Score
D1,,,LR,base_utility,accuracy,0.6848484848484848
D1,,,LR,base_utility,macro_f1,0.6834415584415585
D1,,,DT,base_utility,accuracy,0.8121212121212121
D1,,,DT,base_utility,macro_f1,0.8114285714285714
D1,,,RF,base_utility,accuracy,0.8727272727272727
D1,,,RF,base_utility,macro_f1,0.8718043582818453
D10,,,LR,base_utility,accuracy,0.7212121212121212
D10,,,LR,base_utility,macro_f1,0.7194707273802483
D10,,,DT,base_utility,accuracy,0.8181818181818182
D10,,,DT,base_utility,macro_f1,0.8180147058823529
D10,,,RF,base_utility,accuracy,0.8666666666666667
D10,,,RF,base_utility,macro_f1,0.8665441176470589
D100,,,LR,base_utility,accuracy,0.896969696969697
D100,,,LR,base_utility,macro_f1,0.8969091109559337
D100,,,DT,base_utility,accuracy,0.8242424242424242
D100,,,DT,base_utility,macro_f1,0.8242424242424242
D100,,,RF,base_utility,accuracy,0.896969696969697
D100,,,RF,base_utility,macro_f1,0.8969091109559337
D1000,,,LR,base_utility,accuracy,0.9242424242424242
D1000,,,LR,base_utility,macro_f1,0.924124674655802
D1000,,,DT,base_utility,accuracy,0.8
D1000,,,DT,base_utility,macro_f1,0.799639387695025
D1000,,,RF,base_utility,accuracy,0.9212121212121213
D1000,,,RF,base_utility,macro_f1,0.9210700618192522
D1001,,,LR,base_utility,accuracy,1.0
D1001,,,LR,base_utility,macro_f1,1.0
D1001,,,DT,base_utility,accuracy,0.996969696969697
D1001,,,DT,base_utility,macro_f1,0.9969690011481056
D1001,,,RF,base_utility,accuracy,1.0
D1001,,,RF,base_utility,macro_f1,1.0
D1002,,,LR,base_utility,accuracy,0.996969696969697
D1002,,,LR,base_utility,macro_f1,0.9969616337203413
D1002,,,DT,base_utility,accuracy,0.9848484848484849
D1002,,,DT,base_utility,macro_f1,0.9847868779907615
D1002,,,RF,base_utility,accuracy,0.996969696969697
D1002,,,RF,base_utility,macro_f1,0.9969616337203413
D1003,,,LR,base_utility,accuracy,0.9575757575757575
D1003,,,LR,base_utility,macro_f1,0.9573501717071009
D1003,,,DT,base_utility,accuracy,0.8757575757575757
D1003,,,DT,base_utility,macro_f1,0.8755003450655625
D1003,,,RF,base_utility,accuracy,0.9575757575757575
D1003,,,RF,base_utility,macro_f1,0.9573501717071009
D1004,,,LR,base_utility,accuracy,0.896969696969697
D1004,,,LR,base_utility,macro_f1,0.896969696969697
D1004,,,DT,base_utility,accuracy,0.7515151515151515
D1004,,,DT,base_utility,macro_f1,0.7513690323054871
D1004,,,RF,base_utility,accuracy,0.8757575757575757
D1004,,,RF,base_utility,macro_f1,0.8757564348616609
D1005,,,LR,base_utility,accuracy,0.9606060606060606
D1005,,,LR,base_utility,macro_f1,0.9606056988585754
D1005,,,DT,base_utility,accuracy,0.9727272727272728
D1005,,,DT,base_utility,macro_f1,0.972727022286706
D1005,,,RF,base_utility,accuracy,0.996969696969697
D1005,,,RF,base_utility,macro_f1,0.9969683328586784
D1006,,,LR,base_utility,accuracy,0.9484848484848485
D1006,,,LR,base_utility,macro_f1,0.9484843754304447
D1006,,,DT,base_utility,accuracy,0.9636363636363636
D1006,,,DT,base_utility,macro_f1,0.9636350279165442
D1006,,,RF,base_utility,accuracy,0.9878787878787879
D1006,,,RF,base_utility,macro_f1,0.9878787878787879
D1007,,,LR,base_utility,accuracy,0.9
D1007,,,LR,base_utility,macro_f1,0.89992556446944
D1007,,,DT,base_utility,accuracy,0.8727272727272727
D1007,,,DT,base_utility,macro_f1,0.8723474801061009
D1007,,,RF,base_utility,accuracy,0.9484848484848485
D1007,,,RF,base_utility,macro_f1,0.9484805906824256
D1008,,,LR,base_utility,accuracy,0.8515151515151516
D1008,,,LR,base_utility,macro_f1,0.8511200522967286
D1008,,,DT,base_utility,accuracy,0.8151515151515152
D1008,,,DT,base_utility,macro_f1,0.8143999114872902
D1008,,,RF,base_utility,accuracy,0.8939393939393939
D1008,,,RF,base_utility,macro_f1,0.8938916500537432
D1009,,,LR,base_utility,accuracy,1.0
D1009,,,LR,base_utility,macro_f1,1.0
D1009,,,DT,base_utility,accuracy,1.0
D1009,,,DT,base_utility,macro_f1,1.0
D1009,,,RF,base_utility,accuracy,1.0
D1009,,,RF,base_utility,macro_f1,1.0
D101,,,LR,base_utility,accuracy,1.0
D101,,,LR,base_utility,macro_f1,1.0
D101,,,DT,base_utility,accuracy,1.0
D101,,,DT,base_utility,macro_f1,1.0
D101,,,RF,base_utility,accuracy,1.0
D101,,,RF,base_utility,macro_f1,1.0
D1010,,,LR,base_utility,accuracy,0.9939393939393939
D1010,,,LR,base_utility,macro_f1,0.9939391713194241
D1010,,,DT,base_utility,accuracy,0.990909090909091
D1010,,,DT,base_utility,macro_f1,0.9909083395321927
D1010,,,RF,base_utility,accuracy,0.9939393939393939
D1010,,,RF,base_utility,macro_f1,0.9939391713194241
D1011,,,LR,base_utility,accuracy,0.9363636363636364
D1011,,,LR,base_utility,macro_f1,0.9363630520023141
D1011,,,DT,base_utility,accuracy,0.8939393939393939
D1011,,,DT,base_utility,macro_f1,0.8939384200038567
D1011,,,RF,base_utility,accuracy,0.9363636363636364
D1011,,,RF,base_utility,macro_f1,0.9363630520023141
D1012,,,LR,base_utility,accuracy,0.9
D1012,,,LR,base_utility,macro_f1,0.899667400657828
D1012,,,DT,base_utility,accuracy,0.803030303030303
D1012,,,DT,base_utility,macro_f1,0.8023751831139038
D1012,,,RF,base_utility,accuracy,0.9030303030303031
D1012,,,RF,base_utility,macro_f1,0.9027409372236959
D1013,,,LR,base_utility,accuracy,1.0
D1013,,,LR,base_utility,macro_f1,1.0
D1013,,,DT,base_utility,accuracy,1.0
D1013,,,DT,base_utility,macro_f1,1.0
D1013,,,RF,base_utility,accuracy,1.0
D1013,,,RF,base_utility,macro_f1,1.0
D1014,,,LR,base_utility,accuracy,0.9939393939393939
D1014,,,LR,base_utility,macro_f1,0.9939385033613755
D1014,,,DT,base_utility,accuracy,0.9848484848484849
D1014,,,DT,base_utility,macro_f1,0.9848450057405281
D1014,,,RF,base_utility,accuracy,0.9939393939393939
D1014,,,RF,base_utility,macro_f1,0.9939385033613755
D1015,,,LR,base_utility,accuracy,0.9484848484848485
D1015,,,LR,base_utility,macro_f1,0.9484616585975324
D1015,,,DT,base_utility,accuracy,0.8939393939393939
D1015,,,DT,base_utility,macro_f1,0.8939150401836969
D1015,,,RF,base_utility,accuracy,0.9484848484848485
D1015,,,RF,base_utility,macro_f1,0.9484616585975324
D1016,,,LR,base_utility,accuracy,0.896969696969697
D1016,,,LR,base_utility,macro_f1,0.8969091109559337
D1016,,,DT,base_utility,accuracy,0.8212121212121212
D1016,,,DT,base_utility,macro_f1,0.8210790395059686
D1016,,,RF,base_utility,accuracy,0.896969696969697
D1016,,,RF,base_utility,macro_f1,0.8969091109559337
D1017,,,LR,base_utility,accuracy,1.0
D1017,,,LR,base_utility,macro_f1,1.0
D1017,,,DT,base_utility,accuracy,1.0
D1017,,,DT,base_utility,macro_f1,1.0
D1017,,,RF,base_utility,accuracy,1.0
D1017,,,RF,base_utility,macro_f1,1.0
D1018,,,LR,base_utility,accuracy,0.9939393939393939
D1018,,,LR,base_utility,macro_f1,0.9939385033613755
D1018,,,DT,base_utility,accuracy,0.9939393939393939
D1018,,,DT,base_utility,macro_f1,0.9939385033613755
D1018,,,RF,base_utility,accuracy,0.9939393939393939
D1018,,,RF,base_utility,macro_f1,0.9939385033613755
D1019,,,LR,base_utility,accuracy,0.9515151515151515
D1019,,,LR,base_utility,macro_f1,0.9515080268910032
