Dataset,input_complex,input_f1,input_f1v,input_f2,input_f3,input_f4,input_l1,input_l2,input_l3,input_n1,input_n2,input_n3,input_n4,input_t1,input_lsc,input_density,input_clsCoef,input_hubs,input_t2,input_t3,input_t4,input_c1,input_c2
D1,0.399,0.643,0.439,0.05,0.83,0.436,0.164,0.266,0.224,0.119,0.416,0.209,0.104,0.701,0.973,0.95,0.544,0.862,0.03,0.024,0.8,0.001,0.001
D10,0.447,0.733,0.551,0.041,0.901,0.669,0.196,0.337,0.31,0.119,0.42,0.23,0.131,0.782,0.983,0.98,0.69,0.914,0.03,0.024,0.8,0.0,0.0
D100,0.354,0.199,0.107,0.123,0.86,0.734,0.234,0.084,0.063,0.081,0.382,0.17,0.081,0.543,0.962,0.952,0.583,0.861,0.03,0.021,0.7,0.004,0.011
D1000,0.391,0.286,0.165,0.308,0.973,0.919,0.326,0.119,0.124,0.102,0.409,0.212,0.101,0.646,0.989,0.953,0.447,0.9,0.015,0.009,0.6,0.001,0.003
D1001,0.157,0.02,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.121,0.0,0.0,0.007,0.502,0.934,0.502,0.834,0.015,0.007,0.5,0.0,0.0
D1002,0.193,0.036,0.016,0.001,0.388,0.0,0.041,0.007,0.01,0.005,0.184,0.009,0.003,0.085,0.725,0.922,0.475,0.812,0.015,0.007,0.5,0.0,0.0
D1003,0.333,0.149,0.078,0.089,0.916,0.799,0.291,0.061,0.064,0.051,0.38,0.099,0.075,0.496,0.98,0.935,0.505,0.835,0.015,0.007,0.5,0.001,0.003
D1004,0.374,0.259,0.147,0.151,0.955,0.878,0.424,0.112,0.106,0.097,0.408,0.185,0.091,0.67,0.988,0.934,0.478,0.83,0.015,0.007,0.5,0.0,0.0
D1005,0.227,0.275,0.076,0.017,0.701,0.0,0.028,0.034,0.019,0.002,0.171,0.004,0.055,0.051,0.789,0.958,0.484,0.901,0.015,0.006,0.4,0.0,0.0
D1006,0.27,0.306,0.083,0.197,0.725,0.61,0.042,0.048,0.025,0.004,0.204,0.006,0.066,0.06,0.84,0.952,0.456,0.901,0.015,0.006,0.4,0.0,0.0
D1007,0.341,0.376,0.137,0.162,0.936,0.83,0.158,0.096,0.084,0.051,0.358,0.107,0.081,0.41,0.974,0.955,0.472,0.901,0.015,0.006,0.4,0.0,0.001
D1008,0.376,0.491,0.194,0.207,0.943,0.876,0.206,0.133,0.13,0.089,0.393,0.181,0.118,0.582,0.987,0.957,0.466,0.903,0.015,0.006,0.4,0.001,0.003
D1009,0.201,0.016,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.275,0.0,0.0,0.069,0.504,0.988,0.786,0.926,0.03,0.024,0.8,0.0,0.001
D101,0.184,0.025,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.192,0.0,0.0,0.039,0.747,0.959,0.517,0.9,0.03,0.018,0.6,0.001,0.001
D1010,0.204,0.02,0.008,0.0,0.07,0.0,0.0,0.0,0.0,0.002,0.277,0.003,0.0,0.036,0.55,0.987,0.765,0.915,0.03,0.024,0.8,0.0,0.0
D1011,0.366,0.098,0.049,0.027,0.875,0.697,0.124,0.042,0.049,0.043,0.428,0.085,0.045,0.873,0.973,0.993,0.854,0.945,0.03,0.024,0.8,0.0,0.0
D1012,0.412,0.258,0.137,0.046,0.969,0.848,0.248,0.107,0.101,0.101,0.45,0.2,0.096,0.97,0.987,0.988,0.767,0.932,0.03,0.024,0.8,0.0,0.0
D1013,0.206,0.017,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.288,0.0,0.0,0.118,0.746,0.984,0.677,0.945,0.03,0.021,0.7,0.0,0.0
D1014,0.25,0.026,0.013,0.027,0.478,0.151,0.007,0.004,0.004,0.005,0.307,0.007,0.006,0.237,0.825,0.985,0.675,0.948,0.03,0.022,0.75,0.0,0.0
D1015,0.358,0.12,0.062,0.036,0.887,0.704,0.149,0.049,0.052,0.049,0.414,0.096,0.049,0.848,0.965,0.986,0.7,0.956,0.03,0.021,0.7,0.001,0.004
D1016,0.401,0.213,0.115,0.097,0.94,0.831,0.23,0.091,0.094,0.087,0.443,0.178,0.087,0.951,0.987,0.989,0.734,0.955,0.03,0.022,0.75,0.0,0.001
D1017,0.191,0.021,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.221,0.0,0.0,0.007,0.505,0.988,0.769,0.92,0.03,0.021,0.7,0.0,0.0
D1018,0.233,0.028,0.011,0.004,0.548,0.0,0.009,0.003,0.007,0.003,0.225,0.004,0.007,0.118,0.696,0.989,0.789,0.932,0.03,0.021,0.7,0.0,0.0
D1019,0.358,0.119,0.058,0.013,0.863,0.645,0.182,0.048,0.037,0.05,0.423,0.096,0.046,0.839,0.973,0.99,0.808,0.929,0.03,0.021,0.7,0.0,0.0
D102,0.208,0.031,0.015,0.014,0.406,0.003,0.011,0.003,0.003,0.004,0.194,0.003,0.0,0.072,0.788,0.962,0.513,0.907,0.03,0.018,0.6,0.001,0.004
D1020,0.399,0.223,0.121,0.026,0.943,0.746,0.33,0.094,0.091,0.079,0.443,0.167,0.096,0.949,0.986,0.991,0.808,0.928,0.03,0.021,0.7,0.0,0.001
D1021,0.267,0.311,0.08,0.004,0.7,0.003,0.026,0.048,0.019,0.003,0.279,0.004,0.051,0.166,0.803,0.991,0.775,0.956,0.03,0.018,0.6,0.0,0.0
D1022,0.28,0.301,0.079,0.01,0.742,0.094,0.029,0.051,0.031,0.006,0.286,0.009,0.034,0.228,0.834,0.994,0.831,0.962,0.03,0.018,0.6,0.0,0.0
D1023,0.377,0.333,0.111,0.064,0.963,0.794,0.114,0.076,0.057,0.046,0.415,0.088,0.049,0.848,0.973,0.991,0.774,0.955,0.03,0.018,0.6,0.0,0.0
D1024,0.413,0.459,0.199,0.049,0.963,0.79,0.218,0.127,0.119,0.075,0.437,0.139,0.128,0.942,0.986,0.995,0.851,0.968,0.03,0.018,0.6,0.0,0.0
D1025,0.295,0.172,0.074,0.015,0.525,0.072,0.004,0.025,0.005,0.071,0.404,0.134,0.046,0.793,0.991,0.953,0.526,0.868,0.007,0.006,0.8,0.0,0.0
D1026,0.327,0.189,0.08,0.052,0.729,0.525,0.006,0.035,0.02,0.079,0.408,0.146,0.06,0.804,0.992,0.954,0.529,0.873,0.007,0.005,0.7,0.0,0.0
D1027,0.382,0.275,0.14,0.168,0.987,0.933,0.037,0.09,0.067,0.106,0.423,0.204,0.09,0.821,0.995,0.958,0.535,0.865,0.007,0.005,0.7,0.0,0.0
D1028,0.412,0.413,0.239,0.207,0.99,0.954,0.068,0.149,0.137,0.132,0.435,0.257,0.137,0.86,0.997,0.961,0.531,0.883,0.007,0.005,0.7,0.0,0.0
D1029,0.386,0.39,0.222,0.126,0.896,0.618,0.063,0.154,0.114,0.114,0.419,0.218,0.107,0.797,0.993,0.971,0.566,0.911,0.007,0.006,0.8,0.0,0.0
D103,0.328,0.139,0.072,0.142,0.842,0.687,0.164,0.054,0.06,0.058,0.362,0.107,0.057,0.46,0.962,0.965,0.527,0.907,0.03,0.018,0.6,0.0,0.0
D1030,0.402,0.4,0.227,0.17,0.937,0.799,0.064,0.148,0.122,0.115,0.418,0.213,0.117,0.772,0.993,0.981,0.62,0.929,0.007,0.006,0.8,0.0,0.0
D1031,0.43,0.484,0.295,0.175,0.977,0.931,0.087,0.183,0.16,0.135,0.43,0.269,0.154,0.84,0.996,0.983,0.625,0.933,0.007,0.006,0.8,0.0,0.001
D1032,0.46,0.555,0.366,0.342,0.984,0.942,0.11,0.221,0.199,0.172,0.444,0.335,0.179,0.891,0.997,0.985,0.652,0.939,0.007,0.006,0.8,0.0,0.001
D1033,0.428,0.683,0.379,0.116,0.906,0.837,0.141,0.25,0.233,0.115,0.415,0.219,0.118,0.701,0.993,0.978,0.609,0.907,0.007,0.006,0.8,0.001,0.002
D1034,0.432,0.698,0.407,0.097,0.904,0.818,0.151,0.264,0.231,0.115,0.415,0.213,0.152,0.695,0.993,0.983,0.635,0.913,0.007,0.006,0.8,0.0,0.0
D1035,0.457,0.726,0.459,0.158,0.99,0.954,0.167,0.272,0.224,0.142,0.431,0.278,0.166,0.81,0.996,0.973,0.592,0.894,0.007,0.006,0.8,0.0,0.0
D1036,0.468,0.73,0.476,0.173,0.974,0.938,0.172,0.282,0.249,0.166,0.439,0.316,0.182,0.84,0.997,0.985,0.642,0.921,0.007,0.006,0.8,0.0,0.001
D1037,0.497,0.915,0.71,0.129,0.986,0.933,0.25,0.379,0.355,0.162,0.44,0.31,0.207,0.86,0.997,0.978,0.6,0.911,0.007,0.006,0.8,0.0,0.0
D1038,0.497,0.905,0.695,0.176,0.974,0.922,0.249,0.373,0.34,0.165,0.442,0.314,0.224,0.881,0.997,0.974,0.581,0.903,0.007,0.006,0.8,0.0,0.0
D1039,0.509,0.93,0.746,0.213,0.989,0.939,0.261,0.399,0.37,0.175,0.446,0.342,0.268,0.884,0.997,0.969,0.561,0.895,0.007,0.006,0.8,0.001,0.003
D104,0.356,0.207,0.11,0.158,0.913,0.785,0.221,0.084,0.096,0.081,0.39,0.158,0.081,0.552,0.973,0.963,0.515,0.902,0.03,0.018,0.6,0.001,0.003
D1040,0.526,0.938,0.795,0.221,0.993,0.96,0.267,0.404,0.404,0.199,0.454,0.407,0.31,0.923,0.998,0.98,0.613,0.904,0.007,0.006,0.8,0.0,0.0
D1041,0.339,0.165,0.069,0.005,0.517,0.004,0.003,0.025,0.01,0.147,0.47,0.29,0.116,0.996,0.997,0.994,0.817,0.947,0.015,0.013,0.85,0.0,0.0
D1042,0.398,0.194,0.083,0.041,0.975,0.728,0.008,0.041,0.014,0.155,0.469,0.31,0.11,0.998,0.997,0.993,0.798,0.956,0.015,0.013,0.85,0.0,0.0
D1043,0.43,0.278,0.137,0.062,0.993,0.931,0.034,0.087,0.079,0.184,0.473,0.373,0.155,0.999,0.998,0.995,0.841,0.963,0.015,0.013,0.85,0.0,0.0
D1044,0.447,0.38,0.217,0.055,0.993,0.923,0.063,0.138,0.115,0.198,0.476,0.396,0.178,0.999,0.998,0.997,0.871,0.952,0.015,0.013,0.85,0.0,0.0
D1045,0.414,0.363,0.198,0.04,0.932,0.568,0.053,0.137,0.099,0.151,0.469,0.29,0.125,0.997,0.997,0.996,0.863,0.953,0.015,0.013,0.85,0.0,0.0
D1046,0.429,0.383,0.214,0.038,0.958,0.781,0.058,0.147,0.122,0.159,0.47,0.315,0.149,0.999,0.997,0.995,0.818,0.954,0.015,0.013,0.85,0.0,0.001
D1047,0.455,0.469,0.285,0.09,0.989,0.924,0.084,0.186,0.139,0.185,0.474,0.365,0.155,0.999,0.998,0.995,0.833,0.961,0.015,0.013,0.85,0.0,0.0
D1048,0.474,0.575,0.371,0.098,0.989,0.916,0.11,0.228,0.201,0.2,0.476,0.399,0.208,0.998,0.998,0.995,0.829,0.951,0.015,0.013,0.85,0.0,0.0
D1049,0.462,0.695,0.404,0.022,0.916,0.824,0.15,0.266,0.21,0.151,0.465,0.293,0.143,0.984,0.997,0.994,0.825,0.949,0.015,0.013,0.85,0.0,0.0
D105,0.2,0.041,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.208,0.0,0.0,0.021,0.548,0.992,0.904,0.914,0.03,0.021,0.7,0.0,0.001
D1050,0.467,0.696,0.397,0.05,0.927,0.838,0.145,0.254,0.201,0.149,0.467,0.285,0.146,0.987,0.996,0.998,0.904,0.964,0.015,0.013,0.85,0.0,0.0
D1051,0.476,0.737,0.427,0.031,0.978,0.893,0.152,0.26,0.225,0.165,0.469,0.319,0.18,0.993,0.997,0.994,0.812,0.953,0.015,0.013,0.85,0.0,0.001
D1052,0.49,0.78,0.5,0.057,0.981,0.896,0.177,0.305,0.264,0.179,0.472,0.343,0.177,0.999,0.998,0.995,0.838,0.953,0.015,0.013,0.85,0.0,0.001
D1053,0.529,0.918,0.702,0.057,0.984,0.909,0.245,0.378,0.372,0.196,0.475,0.387,0.22,0.998,0.998,0.999,0.937,0.978,0.015,0.013,0.85,0.0,0.0
D1054,0.52,0.914,0.703,0.062,0.984,0.901,0.239,0.379,0.327,0.182,0.473,0.36,0.242,0.994,0.998,0.996,0.855,0.961,0.015,0.013,0.85,0.0,0.0
D1055,0.527,0.925,0.709,0.062,0.985,0.907,0.242,0.387,0.356,0.199,0.475,0.387,0.214,0.995,0.998,0.998,0.906,0.974,0.015,0.013,0.85,0.0,0.0
D1056,0.531,0.927,0.755,0.065,0.987,0.913,0.249,0.4,0.363,0.206,0.477,0.41,0.26,0.999,0.998,0.995,0.828,0.964,0.015,0.013,0.85,0.0,0.0
D1057,0.222,0.05,0.02,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.325,0.004,0.001,0.452,0.936,0.938,0.499,0.849,0.007,0.006,0.8,0.0,0.0
D1058,0.262,0.058,0.023,0.074,0.448,0.322,0.002,0.003,0.002,0.009,0.331,0.017,0.004,0.401,0.948,0.944,0.508,0.857,0.007,0.006,0.8,0.0,0.0
D1059,0.349,0.165,0.084,0.174,0.954,0.904,0.06,0.058,0.045,0.051,0.385,0.104,0.062,0.531,0.99,0.945,0.511,0.846,0.007,0.006,0.8,0.0,0.0
D106,0.261,0.066,0.032,0.025,0.642,0.361,0.031,0.009,0.018,0.007,0.243,0.015,0.006,0.11,0.803,0.979,0.748,0.906,0.03,0.021,0.7,0.0,0.0
D1060,0.392,0.307,0.175,0.244,0.984,0.946,0.116,0.12,0.094,0.097,0.415,0.196,0.111,0.699,0.995,0.95,0.498,0.867,0.007,0.006,0.8,0.0,0.0
D1061,0.277,0.136,0.069,0.04,0.418,0.168,0.011,0.041,0.016,0.029,0.361,0.057,0.016,0.508,0.969,0.973,0.551,0.909,0.007,0.006,0.8,0.0,0.0
D1062,0.329,0.146,0.073,0.108,0.853,0.671,0.017,0.041,0.021,0.032,0.361,0.068,0.024,0.524,0.974,0.982,0.602,0.923,0.007,0.006,0.8,0.0,0.0
