Dataset,Synthesizer,Repetition,Output_IR,Train_IR,Test_IR,Diff
D1,TVAE,R1,0.7091836734693877,0.9476744186046512,0.896551724137931,-0.05112269446672013
D1,TVAE,R2,0.8010752688172043,0.9476744186046512,0.896551724137931,-0.05112269446672013
D1,TVAE,R3,0.8206521739130435,0.9476744186046512,0.896551724137931,-0.05112269446672013
D1,CART,R1,0.9252873563218391,0.9476744186046512,0.896551724137931,-0.05112269446672013
D1,CART,R2,0.9364161849710982,0.9476744186046512,0.896551724137931,-0.05112269446672013
D1,CART,R3,0.9252873563218391,0.9476744186046512,0.896551724137931,-0.05112269446672013
D10,TVAE,R1,0.850828729281768,0.9822485207100592,0.9879518072289156,0.005703286518856432
D10,TVAE,R2,0.8010752688172043,0.9822485207100592,0.9879518072289156,0.005703286518856432
D10,TVAE,R3,0.9705882352941176,0.9822485207100592,0.9879518072289156,0.005703286518856432
D10,CART,R1,0.9705882352941176,0.9822485207100592,0.9879518072289156,0.005703286518856432
D10,CART,R2,0.9252873563218391,0.9822485207100592,0.9879518072289156,0.005703286518856432
D10,CART,R3,0.9705882352941176,0.9822485207100592,0.9879518072289156,0.005703286518856432
D100,TVAE,R1,0.8108108108108109,0.8611111111111112,0.9186046511627907,0.057493540051679504
D100,TVAE,R2,0.9590643274853801,0.8611111111111112,0.9186046511627907,0.057493540051679504
D100,TVAE,R3,0.6666666666666666,0.8611111111111112,0.9186046511627907,0.057493540051679504
D100,CART,R1,0.8010752688172043,0.8611111111111112,0.9186046511627907,0.057493540051679504
D100,CART,R2,0.8406593406593407,0.8611111111111112,0.9186046511627907,0.057493540051679504
D100,CART,R3,0.9142857142857143,0.8611111111111112,0.9186046511627907,0.057493540051679504
D1000,TVAE,R1,0.850828729281768,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1000,TVAE,R2,0.9590643274853801,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1000,TVAE,R3,0.976401179941003,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1000,CART,R1,0.930835734870317,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1000,CART,R2,0.9197707736389685,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1000,CART,R3,0.9142857142857143,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1001,TVAE,R1,0.9590643274853801,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1001,TVAE,R2,0.9088319088319088,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1001,TVAE,R3,0.9088319088319088,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1001,CART,R1,0.930835734870317,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1001,CART,R2,0.930835734870317,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1001,CART,R3,0.930835734870317,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1002,TVAE,R1,0.8559556786703602,0.976401179941003,0.9075144508670521,-0.06888672907395088
D1002,TVAE,R2,0.8157181571815718,0.976401179941003,0.9075144508670521,-0.06888672907395088
D1002,TVAE,R3,0.976401179941003,0.976401179941003,0.9075144508670521,-0.06888672907395088
D1002,CART,R1,0.9252873563218391,0.976401179941003,0.9075144508670521,-0.06888672907395088
D1002,CART,R2,0.9364161849710982,0.976401179941003,0.9075144508670521,-0.06888672907395088
D1002,CART,R3,0.930835734870317,0.976401179941003,0.9075144508670521,-0.06888672907395088
D1003,TVAE,R1,0.9705882352941176,0.9252873563218391,0.864406779661017,-0.06088057666082214
D1003,TVAE,R2,0.8206521739130435,0.9252873563218391,0.864406779661017,-0.06088057666082214
D1003,TVAE,R3,0.8820224719101124,0.9252873563218391,0.864406779661017,-0.06088057666082214
D1003,CART,R1,0.8356164383561644,0.9252873563218391,0.864406779661017,-0.06088057666082214
D1003,CART,R2,0.8926553672316384,0.9252873563218391,0.864406779661017,-0.06088057666082214
D1003,CART,R3,0.8559556786703602,0.9252873563218391,0.864406779661017,-0.06088057666082214
D1004,TVAE,R1,0.9197707736389685,0.9940476190476191,0.9526627218934911,-0.041384897154127964
D1004,TVAE,R2,0.9940476190476191,0.9940476190476191,0.9526627218934911,-0.041384897154127964
D1004,TVAE,R3,0.8356164383561644,0.9940476190476191,0.9526627218934911,-0.041384897154127964
D1004,CART,R1,0.9881305637982196,0.9940476190476191,0.9526627218934911,-0.041384897154127964
D1004,CART,R2,0.976401179941003,0.9940476190476191,0.9526627218934911,-0.041384897154127964
D1004,CART,R3,0.9881305637982196,0.9940476190476191,0.9526627218934911,-0.041384897154127964
D1005,TVAE,R1,0.9881305637982196,0.9822485207100592,0.9642857142857143,-0.01796280642434489
D1005,TVAE,R2,0.8611111111111112,0.9822485207100592,0.9642857142857143,-0.01796280642434489
D1005,TVAE,R3,0.9881305637982196,0.9822485207100592,0.9642857142857143,-0.01796280642434489
D1005,CART,R1,0.9034090909090909,0.9822485207100592,0.9642857142857143,-0.01796280642434489
D1005,CART,R2,0.9088319088319088,0.9822485207100592,0.9642857142857143,-0.01796280642434489
D1005,CART,R3,0.8662952646239555,0.9822485207100592,0.9642857142857143,-0.01796280642434489
D1006,TVAE,R1,0.8206521739130435,0.9940476190476191,1.0,0.005952380952380931
D1006,TVAE,R2,0.8206521739130435,0.9940476190476191,1.0,0.005952380952380931
D1006,TVAE,R3,0.7357512953367875,0.9940476190476191,1.0,0.005952380952380931
D1006,CART,R1,0.9476744186046512,0.9940476190476191,1.0,0.005952380952380931
D1006,CART,R2,0.9420289855072463,0.9940476190476191,1.0,0.005952380952380931
D1006,CART,R3,0.9476744186046512,0.9940476190476191,1.0,0.005952380952380931
D1007,TVAE,R1,0.9197707736389685,0.9648093841642229,0.9642857142857143,-0.0005236698785086036
D1007,TVAE,R2,0.9142857142857143,0.9648093841642229,0.9642857142857143,-0.0005236698785086036
D1007,TVAE,R3,0.9881305637982196,0.9648093841642229,0.9642857142857143,-0.0005236698785086036
D1007,CART,R1,0.9420289855072463,0.9648093841642229,0.9642857142857143,-0.0005236698785086036
D1007,CART,R2,0.9197707736389685,0.9648093841642229,0.9642857142857143,-0.0005236698785086036
D1007,CART,R3,1.0,0.9648093841642229,0.9642857142857143,-0.0005236698785086036
D1008,TVAE,R1,0.9364161849710982,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1008,TVAE,R2,0.9881305637982196,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1008,TVAE,R3,0.9088319088319088,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1008,CART,R1,0.9420289855072463,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1008,CART,R2,0.9940476190476191,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1008,CART,R3,0.9590643274853801,0.9252873563218391,0.9526627218934911,0.02737536557165199
D1009,TVAE,R1,0.9364161849710982,0.9590643274853801,0.9186046511627907,-0.0404596763225894
D1009,TVAE,R2,0.9364161849710982,0.9590643274853801,0.9186046511627907,-0.0404596763225894
D1009,TVAE,R3,0.9088319088319088,0.9590643274853801,0.9186046511627907,-0.0404596763225894
D1009,CART,R1,0.9881305637982196,0.9590643274853801,0.9186046511627907,-0.0404596763225894
D1009,CART,R2,0.9881305637982196,0.9590643274853801,0.9186046511627907,-0.0404596763225894
D1009,CART,R3,0.9881305637982196,0.9590643274853801,0.9186046511627907,-0.0404596763225894
D101,TVAE,R1,0.8406593406593407,0.9476744186046512,0.896551724137931,-0.05112269446672013
D101,TVAE,R2,0.9590643274853801,0.9476744186046512,0.896551724137931,-0.05112269446672013
D101,TVAE,R3,0.8010752688172043,0.9476744186046512,0.896551724137931,-0.05112269446672013
D101,CART,R1,0.9142857142857143,0.9476744186046512,0.896551724137931,-0.05112269446672013
D101,CART,R2,0.9142857142857143,0.9476744186046512,0.896551724137931,-0.05112269446672013
D101,CART,R3,0.9142857142857143,0.9476744186046512,0.896551724137931,-0.05112269446672013
D1010,TVAE,R1,0.976401179941003,1.0,0.9879518072289156,-0.012048192771084376
D1010,TVAE,R2,0.9705882352941176,1.0,0.9879518072289156,-0.012048192771084376
D1010,TVAE,R3,0.9197707736389685,1.0,0.9879518072289156,-0.012048192771084376
D1010,CART,R1,0.9252873563218391,1.0,0.9879518072289156,-0.012048192771084376
D1010,CART,R2,0.9252873563218391,1.0,0.9879518072289156,-0.012048192771084376
D1010,CART,R3,0.9252873563218391,1.0,0.9879518072289156,-0.012048192771084376
D1011,TVAE,R1,0.9142857142857143,1.0,0.9411764705882353,-0.05882352941176472
D1011,TVAE,R2,0.9648093841642229,1.0,0.9411764705882353,-0.05882352941176472
D1011,TVAE,R3,0.8559556786703602,1.0,0.9411764705882353,-0.05882352941176472
D1011,CART,R1,0.9142857142857143,1.0,0.9411764705882353,-0.05882352941176472
D1011,CART,R2,0.9881305637982196,1.0,0.9411764705882353,-0.05882352941176472
D1011,CART,R3,0.9088319088319088,1.0,0.9411764705882353,-0.05882352941176472
D1012,TVAE,R1,0.9590643274853801,0.9822485207100592,0.9186046511627907,-0.06364386954726853
D1012,TVAE,R2,0.9648093841642229,0.9822485207100592,0.9186046511627907,-0.06364386954726853
D1012,TVAE,R3,0.9142857142857143,0.9822485207100592,0.9186046511627907,-0.06364386954726853
D1012,CART,R1,0.9533527696793003,0.9822485207100592,0.9186046511627907,-0.06364386954726853
D1012,CART,R2,0.9648093841642229,0.9822485207100592,0.9186046511627907,-0.06364386954726853
D1012,CART,R3,0.9881305637982196,0.9822485207100592,0.9186046511627907,-0.06364386954726853
D1013,TVAE,R1,0.9364161849710982,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1013,TVAE,R2,0.9197707736389685,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1013,TVAE,R3,0.930835734870317,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1013,CART,R1,0.930835734870317,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1013,CART,R2,0.930835734870317,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1013,CART,R3,0.930835734870317,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1014,TVAE,R1,0.8926553672316384,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1014,TVAE,R2,0.930835734870317,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1014,TVAE,R3,0.9533527696793003,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1014,CART,R1,0.9197707736389685,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1014,CART,R2,0.9252873563218391,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1014,CART,R3,0.9420289855072463,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1015,TVAE,R1,0.6919191919191919,0.9142857142857143,0.9411764705882353,0.026890756302521024
D1015,TVAE,R2,0.7866666666666666,0.9142857142857143,0.9411764705882353,0.026890756302521024
D1015,TVAE,R3,0.717948717948718,0.9142857142857143,0.9411764705882353,0.026890756302521024
D1015,CART,R1,0.9705882352941176,0.9142857142857143,0.9411764705882353,0.026890756302521024
D1015,CART,R2,0.9940476190476191,0.9142857142857143,0.9411764705882353,0.026890756302521024
D1015,CART,R3,0.9822485207100592,0.9142857142857143,0.9411764705882353,0.026890756302521024
D1016,TVAE,R1,0.9476744186046512,0.9590643274853801,0.9298245614035088,-0.029239766081871288
D1016,TVAE,R2,0.9705882352941176,0.9590643274853801,0.9298245614035088,-0.029239766081871288
D1016,TVAE,R3,0.8715083798882681,0.9590643274853801,0.9298245614035088,-0.029239766081871288
D1016,CART,R1,0.8715083798882681,0.9590643274853801,0.9298245614035088,-0.029239766081871288
D1016,CART,R2,0.876750700280112,0.9590643274853801,0.9298245614035088,-0.029239766081871288
D1016,CART,R3,0.9034090909090909,0.9590643274853801,0.9298245614035088,-0.029239766081871288
D1017,TVAE,R1,0.8926553672316384,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1017,TVAE,R2,0.8980169971671388,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1017,TVAE,R3,0.8457300275482094,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1017,CART,R1,0.8206521739130435,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1017,CART,R2,0.8206521739130435,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1017,CART,R3,0.8206521739130435,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1018,TVAE,R1,0.8980169971671388,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1018,TVAE,R2,0.9705882352941176,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1018,TVAE,R3,0.9252873563218391,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1018,CART,R1,0.9142857142857143,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1018,CART,R2,0.930835734870317,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1018,CART,R3,0.9364161849710982,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1019,TVAE,R1,0.9705882352941176,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1019,TVAE,R2,0.9088319088319088,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1019,TVAE,R3,0.8926553672316384,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1019,CART,R1,0.9533527696793003,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1019,CART,R2,0.930835734870317,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1019,CART,R3,0.9705882352941176,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D102,TVAE,R1,0.9476744186046512,0.9142857142857143,0.8333333333333334,-0.08095238095238089
D102,TVAE,R2,0.7539267015706806,0.9142857142857143,0.8333333333333334,-0.08095238095238089
D102,TVAE,R3,0.8820224719101124,0.9142857142857143,0.8333333333333334,-0.08095238095238089
D102,CART,R1,0.8611111111111112,0.9142857142857143,0.8333333333333334,-0.08095238095238089
D102,CART,R2,0.8611111111111112,0.9142857142857143,0.8333333333333334,-0.08095238095238089
D102,CART,R3,0.8611111111111112,0.9142857142857143,0.8333333333333334,-0.08095238095238089
D1020,TVAE,R1,0.930835734870317,0.9648093841642229,0.9186046511627907,-0.04620473300143224
D1020,TVAE,R2,0.9648093841642229,0.9648093841642229,0.9186046511627907,-0.04620473300143224
D1020,TVAE,R3,0.876750700280112,0.9648093841642229,0.9186046511627907,-0.04620473300143224
D1020,CART,R1,0.9364161849710982,0.9648093841642229,0.9186046511627907,-0.04620473300143224
D1020,CART,R2,0.9142857142857143,0.9648093841642229,0.9186046511627907,-0.04620473300143224
D1020,CART,R3,0.9476744186046512,0.9648093841642229,0.9186046511627907,-0.04620473300143224
D1021,TVAE,R1,0.9881305637982196,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1021,TVAE,R2,0.8611111111111112,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1021,TVAE,R3,0.9705882352941176,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1021,CART,R1,0.8873239436619719,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1021,CART,R2,0.8820224719101124,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1021,CART,R3,0.8926553672316384,0.9881305637982196,0.9760479041916168,-0.012082659606602819
D1022,TVAE,R1,0.9705882352941176,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1022,TVAE,R2,0.876750700280112,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1022,TVAE,R3,0.8662952646239555,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1022,CART,R1,1.0,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1022,CART,R2,0.9822485207100592,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1022,CART,R3,0.9940476190476191,0.9940476190476191,0.9760479041916168,-0.01799971485600227
D1023,TVAE,R1,0.8926553672316384,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1023,TVAE,R2,0.9533527696793003,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1023,TVAE,R3,0.9197707736389685,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1023,CART,R1,0.9590643274853801,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1023,CART,R2,0.9705882352941176,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1023,CART,R3,0.9088319088319088,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1024,TVAE,R1,0.9822485207100592,0.976401179941003,0.9760479041916168,-0.00035327574938615047
D1024,TVAE,R2,0.8715083798882681,0.976401179941003,0.9760479041916168,-0.00035327574938615047
D1024,TVAE,R3,0.8873239436619719,0.976401179941003,0.9760479041916168,-0.00035327574938615047
D1024,CART,R1,0.9940476190476191,0.976401179941003,0.9760479041916168,-0.00035327574938615047
D1024,CART,R2,0.9940476190476191,0.976401179941003,0.9760479041916168,-0.00035327574938615047
D1024,CART,R3,0.9822485207100592,0.976401179941003,0.9760479041916168,-0.00035327574938615047
D1025,TVAE,R1,0.9448476052249637,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1025,TVAE,R2,0.9448476052249637,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1025,TVAE,R3,0.9970193740685543,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1025,CART,R1,0.9336219336219336,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1025,CART,R2,0.9252873563218391,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1025,CART,R3,0.9364161849710982,0.976401179941003,0.9526627218934911,-0.023738458047511846
D1026,TVAE,R1,0.8953323903818954,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1026,TVAE,R2,0.9705882352941176,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1026,TVAE,R3,0.8662952646239555,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1026,CART,R1,0.8820224719101124,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1026,CART,R2,0.8820224719101124,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1026,CART,R3,0.900709219858156,0.9940476190476191,0.9879518072289156,-0.006095811818703445
D1027,TVAE,R1,0.9734904270986745,0.9881305637982196,0.9939577039274925,0.005827140129272879
D1027,TVAE,R2,0.9170243204577968,0.9881305637982196,0.9939577039274925,0.005827140129272879
D1027,TVAE,R3,0.9619326500732065,0.9881305637982196,0.9939577039274925,0.005827140129272879
D1027,CART,R1,0.976401179941003,0.9881305637982196,0.9939577039274925,0.005827140129272879
D1027,CART,R2,0.9676945668135095,0.9881305637982196,0.9939577039274925,0.005827140129272879
D1027,CART,R3,0.9970193740685543,0.9881305637982196,0.9939577039274925,0.005827140129272879
D1028,TVAE,R1,0.9562043795620438,0.9822485207100592,0.9186046511627907,-0.06364386954726853
D1028,TVAE,R2,0.9590643274853801,0.9822485207100592,0.9186046511627907,-0.06364386954726853
