Dataset,Synthesizer,Repetition,Authenticity,Coherence,Column Pair Trends,Column Shapes,Coverage,Data Structure,Data Validity,Density,ImpPrecision,ImpRecall,Privacy,output_c1,output_c2,output_clsCoef,output_complex,output_density,output_f1,output_f1v,output_f2,output_f3,output_f4,output_hubs,output_l1,output_l2,output_l3,output_lsc,output_n1,output_n2,output_n3,output_n4,output_t1,output_t2,output_t3,output_t4,Output_IR,Train_IR,Test_IR,IR_Diff,class_sep,flip_y,input_c1,input_c2,input_clsCoef,input_complex,input_density,input_f1,input_f1v,input_f2,input_f3,input_f4,input_hubs,input_l1,input_l2,input_l3,input_lsc,input_n1,input_n2,input_n3,input_n4,input_t1,input_t2,input_t3,input_t4,n_classes,n_clusters_per_class,n_features,n_informative,n_redundant,n_repeated,n_samples,random_state,input_complex_cat,complex_diff
D1,CART,R1,0.4298507462686567,0.971,0.9179693757666496,0.948168249660787,0.8746268656716418,1.0,0.9978290366350068,0.5892537313432837,0.9074626865671642,0.9850746268656716,0.8009999999999999,0.001,0.003,0.546,0.426,0.976,0.708,0.462,0.1,0.878,0.609,0.907,0.156,0.304,0.254,0.981,0.125,0.396,0.248,0.155,0.707,0.03,0.024,0.8,0.9252873563218392,0.9476744186046512,0.896551724137931,-0.0511226944667201,0.5,0.0,0.001,0.001,0.544,0.399,0.95,0.643,0.439,0.05,0.83,0.436,0.862,0.164,0.266,0.224,0.973,0.119,0.416,0.209,0.104,0.701,0.03,0.024,0.8,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-high,0.02699999999999997
D1,CART,R2,0.1820895522388059,0.972,0.9093740216681302,0.9481682496607868,0.9880597014925372,1.0,0.9970149253731344,1.0871641791044775,0.9850746268656716,0.9253731343283582,0.517,0.001,0.002,0.65,0.411,0.987,0.702,0.405,0.044,0.821,0.46,0.933,0.122,0.296,0.251,0.977,0.112,0.388,0.191,0.17,0.684,0.03,0.024,0.8,0.9364161849710982,0.9476744186046512,0.896551724137931,-0.0511226944667201,0.5,0.0,0.001,0.001,0.544,0.399,0.95,0.643,0.439,0.05,0.83,0.436,0.862,0.164,0.266,0.224,0.973,0.119,0.416,0.209,0.104,0.701,0.03,0.024,0.8,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-high,0.011999999999999955
D1,CART,R3,0.1880597014925373,0.97,0.9199030568119824,0.950067842605156,0.9671641791044776,1.0,0.9975576662143828,1.052537313432836,0.982089552238806,0.928358208955224,0.501,0.001,0.003,0.606,0.413,0.983,0.711,0.435,0.062,0.869,0.621,0.929,0.147,0.287,0.194,0.974,0.1,0.382,0.17,0.143,0.627,0.03,0.024,0.8,0.9252873563218392,0.9476744186046512,0.896551724137931,-0.0511226944667201,0.5,0.0,0.001,0.001,0.544,0.399,0.95,0.643,0.439,0.05,0.83,0.436,0.862,0.164,0.266,0.224,0.973,0.119,0.416,0.209,0.104,0.701,0.03,0.024,0.8,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-high,0.013999999999999957
D1,TVAE,R1,0.5492537313432836,0.954,0.6944768577311802,0.8602442333785618,0.8716417910447761,1.0,1.0,0.7898507462686568,0.8776119402985074,0.7970149253731343,0.816,0.021,0.056,0.761,0.46,0.984,0.703,0.39,0.073,0.824,0.681,0.933,0.098,0.266,0.194,0.989,0.206,0.453,0.409,0.248,0.872,0.03,0.027,0.9,0.7091836734693877,0.9476744186046512,0.896551724137931,-0.0511226944667201,0.5,0.0,0.001,0.001,0.544,0.399,0.95,0.643,0.439,0.05,0.83,0.436,0.862,0.164,0.266,0.224,0.973,0.119,0.416,0.209,0.104,0.701,0.03,0.024,0.8,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-high,0.061
D1,TVAE,R2,0.6208955223880597,0.951,0.6983966803838689,0.8583446404341927,0.8805970149253731,1.0,1.0,0.6119402985074627,0.8328358208955224,0.9343283582089552,0.878,0.009,0.024,0.692,0.449,0.979,0.693,0.388,0.073,0.845,0.699,0.89,0.083,0.284,0.2,0.989,0.181,0.447,0.34,0.2,0.899,0.03,0.027,0.9,0.8010752688172043,0.9476744186046512,0.896551724137931,-0.0511226944667201,0.5,0.0,0.001,0.001,0.544,0.399,0.95,0.643,0.439,0.05,0.83,0.436,0.862,0.164,0.266,0.224,0.973,0.119,0.416,0.209,0.104,0.701,0.03,0.024,0.8,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-high,0.04999999999999999
D1,TVAE,R3,0.6417910447761194,0.96,0.7183734500229375,0.8626865671641791,0.844776119402985,1.0,1.0,0.5677611940298508,0.7820895522388059,0.9373134328358208,0.877,0.007,0.019,0.71,0.461,0.981,0.7,0.4,0.11,0.866,0.734,0.916,0.093,0.278,0.239,0.988,0.191,0.447,0.391,0.224,0.881,0.03,0.027,0.9,0.8206521739130435,0.9476744186046512,0.896551724137931,-0.0511226944667201,0.5,0.0,0.001,0.001,0.544,0.399,0.95,0.643,0.439,0.05,0.83,0.436,0.862,0.164,0.266,0.224,0.973,0.119,0.416,0.209,0.104,0.701,0.03,0.024,0.8,2.0,1.0,10.0,2.0,2.0,0.0,500.0,42.0,medium-high,0.062
D10,CART,R1,0.6925373134328359,0.973,0.916488542098512,0.9305291723202171,0.6925373134328359,1.0,0.9956580732700137,0.3904477611940299,0.6477611940298508,0.9850746268656716,0.914,0.0,0.0,0.599,0.467,0.982,0.807,0.578,0.179,0.967,0.797,0.919,0.143,0.334,0.293,0.987,0.143,0.412,0.284,0.194,0.797,0.03,0.024,0.8,0.9705882352941176,0.9822485207100592,0.9879518072289156,0.0057032865188564,0.5,0.01,0.0,0.0,0.69,0.447,0.98,0.733,0.551,0.041,0.901,0.669,0.914,0.196,0.337,0.31,0.983,0.119,0.42,0.23,0.131,0.782,0.03,0.024,0.8,2.0,1.0,10.0,4.0,2.0,0.0,500.0,42.0,high,0.020000000000000018
D10,CART,R2,0.2238805970149253,0.97,0.9330014101751825,0.9337856173677068,0.9850746268656716,1.0,0.9956580732700137,0.9844776119402984,0.9791044776119404,0.9373134328358208,0.524,0.001,0.003,0.588,0.455,0.973,0.772,0.535,0.146,0.958,0.809,0.894,0.142,0.334,0.31,0.986,0.134,0.408,0.227,0.155,0.773,0.03,0.024,0.8,0.9252873563218392,0.9822485207100592,0.9879518072289156,0.0057032865188564,0.5,0.01,0.0,0.0,0.69,0.447,0.98,0.733,0.551,0.041,0.901,0.669,0.914,0.196,0.337,0.31,0.983,0.119,0.42,0.23,0.131,0.782,0.03,0.024,0.8,2.0,1.0,10.0,4.0,2.0,0.0,500.0,42.0,high,0.008000000000000007
D10,CART,R3,0.235820895522388,0.969,0.9214642495666352,0.9364993215739484,0.9880597014925372,1.0,0.9970149253731344,1.0453731343283583,0.9761194029850746,0.9402985074626866,0.517,0.0,0.0,0.604,0.455,0.977,0.775,0.568,0.135,0.937,0.725,0.912,0.184,0.337,0.236,0.986,0.133,0.41,0.248,0.203,0.782,0.03,0.024,0.8,0.9705882352941176,0.9822485207100592,0.9879518072289156,0.0057032865188564,0.5,0.01,0.0,0.0,0.69,0.447,0.98,0.733,0.551,0.041,0.901,0.669,0.914,0.196,0.337,0.31,0.983,0.119,0.42,0.23,0.131,0.782,0.03,0.024,0.8,2.0,1.0,10.0,4.0,2.0,0.0,500.0,42.0,high,0.008000000000000007
D10,TVAE,R1,0.6507462686567164,0.955,0.8293960950926396,0.8629579375848032,0.8567164179104477,1.0,1.0,0.6865671641791045,0.8328358208955224,0.7671641791044777,0.852,0.005,0.013,0.759,0.51,0.985,0.846,0.609,0.105,0.973,0.857,0.933,0.174,0.313,0.304,0.993,0.234,0.468,0.478,0.245,0.979,0.03,0.027,0.9,0.850828729281768,0.9822485207100592,0.9879518072289156,0.0057032865188564,0.5,0.01,0.0,0.0,0.69,0.447,0.98,0.733,0.551,0.041,0.901,0.669,0.914,0.196,0.337,0.31,0.983,0.119,0.42,0.23,0.131,0.782,0.03,0.024,0.8,2.0,1.0,10.0,4.0,2.0,0.0,500.0,42.0,high,0.063
